periodo;nivel_general_aperturas;indice_icc
01/01/2022;jgrch_ccjcnyh;100
01/01/2022;iypcngwjaq;100
01/01/2022;iyjm_ba_kzny;100
01/01/2022;cyorkq_ealapwjaq;100
01/02/2022;jgrch_ccjcnyh;103,809,635,871,582
01/02/2022;iypcngwjaq;103,461,973,487,762
01/02/2022;iyjm_ba_kzny;10,420,903,483,914
01/02/2022;cyorkq_ealapwjaq;103,622,082,838,899
01/03/2022;jgrch_ccjcnyh;108,957,034,113,846
01/03/2022;iypcngwjaq;107,610,731,574,899
01/03/2022;iyjm_ba_kzny;110,388,768,498,453
01/03/2022;cyorkq_ealapwjaq;10,874,966,701,378
01/04/2022;jgrch_ccjcnyh;111,477,783,912,457
01/04/2022;iypcngwjaq;112,466,181,061,394
01/04/2022;iyjm_ba_kzny;110,436,924,672,631
01/04/2022;cyorkq_ealapwjaq;111,575,811,880,948
01/05/2022;jgrch_ccjcnyh;118,877,112,315,922
01/05/2022;iypcngwjaq;117,432,927,656,879
01/05/2022;iyjm_ba_kzny;120,535,830,045,748
01/05/2022;cyorkq_ealapwjaq;118,083,775,296,862
01/06/2022;jgrch_ccjcnyh;126,709,991,582,415
01/06/2022;iypcngwjaq;123,566,031,760,395
01/06/2022;iyjm_ba_kzny;13,022,540,793,836
01/06/2022;cyorkq_ealapwjaq;125,428,845,889,941
01/07/2022;jgrch_ccjcnyh;135,483,287,021,533
01/07/2022;iypcngwjaq;138,761,254,128,399
01/07/2022;iyjm_ba_kzny;132,822,137,022,837
01/07/2022;cyorkq_ealapwjaq;132,072,425,511,992
01/08/2022;jgrch_ccjcnyh;145,610,636,930,569
01/08/2022;iypcngwjaq;151,118,852,644,437
01/08/2022;iyjm_ba_kzny;141,251,319,664,389
01/08/2022;cyorkq_ealapwjaq;139,344,844,566,069
01/09/2022;jgrch_ccjcnyh;156,442,167,573,292
01/09/2022;iypcngwjaq;160,064,244,672,669
01/09/2022;iyjm_ba_kzny;154,302,568,946,676
01/09/2022;cyorkq_ealapwjaq;148,885,606,115,645
01/10/2022;jgrch_ccjcnyh;167,839,396,106,188
01/10/2022;iypcngwjaq;169,532,642,627,698
01/10/2022;iyjm_ba_kzny;16,786,131,021,837
01/10/2022;cyorkq_ealapwjaq;159,475,778,784,136
01/11/2022;jgrch_ccjcnyh;179,137,061,810,414
01/11/2022;iypcngwjaq;178,974,799,800,932
01/11/2022;iyjm_ba_kzny;181,374,673,556,704
01/11/2022;cyorkq_ealapwjaq;169,341,857,780,576
01/12/2022;jgrch_ccjcnyh;186,865,852,665,116
01/12/2022;iypcngwjaq;187,784,463,647,469
01/12/2022;iyjm_ba_kzny;187,849,826,822,989
01/12/2022;cyorkq_ealapwjaq;177,732,303,295,958
01/01/2023;jgrch_ccjcnyh;199,350,126,263,769
01/01/2023;iypcngwjaq;198,348,640,456,047
01/01/2023;iyjm_ba_kzny;202,358,726,454,409
01/01/2023;cyorkq_ealapwjaq;190,004,762,712,001
