periodo;nivel_general_aperturas;indice_icc
01/01/2022;1_50v1513970_d3_713rr@$;100
01/01/2022;2_3$7ruc7ur@;100
01/01/2022;3_@|8@91|3r1@;100
01/01/2022;4_y3$3r1@;100
01/01/2022;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;100
01/01/2022;6_19$7@|@c109_d3_g@$;100
01/01/2022;7_19$7@|@c109_3|3c7r1c@;100
01/01/2022;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;100
01/01/2022;9_c@rp1973r1@_d3_5@d3r@;100
01/01/2022;10_@$c39$0r3$;100
01/01/2022;11_v1dr10$;100
01/01/2022;12_p197ur@;100
01/01/2022;13_07r0$_7r@8@j0$_y_g@$70$;100
01/02/2022;1_50v1513970_d3_713rr@$;103,812,933,254,688
01/02/2022;2_3$7ruc7ur@;104,410,773,484,463
01/02/2022;3_@|8@91|3r1@;103,927,129,746,759
01/02/2022;4_y3$3r1@;104,401,086,250,664
01/02/2022;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;103,745,420,563,839
01/02/2022;6_19$7@|@c109_d3_g@$;101,542,653,418,102
01/02/2022;7_19$7@|@c109_3|3c7r1c@;103,949,007,322,413
01/02/2022;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;10,561,061,404,405
01/02/2022;9_c@rp1973r1@_d3_5@d3r@;104,348,301,581,399
01/02/2022;10_@$c39$0r3$;100,573,196,712,996
01/02/2022;11_v1dr10$;102,077,324,810,975
01/02/2022;12_p197ur@;101,735,606,808,807
01/02/2022;13_07r0$_7r@8@j0$_y_g@$70$;103,472,367,445,486
01/03/2022;1_50v1513970_d3_713rr@$;105,983,075,692,185
01/03/2022;2_3$7ruc7ur@;109,511,396,618,843
01/03/2022;3_@|8@91|3r1@;109,514,064,023,334
01/03/2022;4_y3$3r1@;109,920,892,614,676
01/03/2022;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;108,375,716,376,808
01/03/2022;6_19$7@|@c109_d3_g@$;107,360,815,518,714
01/03/2022;7_19$7@|@c109_3|3c7r1c@;109,003,925,417,076
01/03/2022;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;107,490,549,238,831
01/03/2022;9_c@rp1973r1@_d3_5@d3r@;109,423,871,913,209
01/03/2022;10_@$c39$0r3$;103,236,278,786,649
01/03/2022;11_v1dr10$;108,048,172,110,063
01/03/2022;12_p197ur@;106,142,159,995,352
01/03/2022;13_07r0$_7r@8@j0$_y_g@$70$;110,412,349,575,103
01/04/2022;1_50v1513970_d3_713rr@$;109,294,937,307,645
01/04/2022;2_3$7ruc7ur@;112,213,708,956,353
01/04/2022;3_@|8@91|3r1@;110,331,880,332,928
01/04/2022;4_y3$3r1@;111,724,422,929,335
01/04/2022;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;112,976,240,686,068
01/04/2022;6_19$7@|@c109_d3_g@$;113,027,152,326,858
01/04/2022;7_19$7@|@c109_3|3c7r1c@;111,585,642,032,158
