"Ano-Mes"-01;"Clasificador";"Agregacion";"Variacion %"
"2022-01"-01;"Capitulos";"Nivel general";"49.4"
"2022-01"-01;"Capitulos";"Materiales";"51.8"
"2022-01"-01;"Capitulos";"Mano de obra";"46.2"
"2022-01"-01;"Capitulos";"Gastos generales";"52.9"
"2022-02"-01;"Capitulos";"Nivel general";"47.4"
"2022-02"-01;"Capitulos";"Materiales";"50.2"
"2022-02"-01;"Capitulos";"Mano de obra";"44.7"
"2022-02"-01;"Capitulos";"Gastos generales";"47.3"
"2022-03"-01;"Capitulos";"Nivel general";"51.1"
"2022-03"-01;"Capitulos";"Materiales";"50.2"
"2022-03"-01;"Capitulos";"Mano de obra";"52.2"
"2022-03"-01;"Capitulos";"Gastos generales";"49.7"
"2022-04"-01;"Capitulos";"Nivel general";"44.6"
"2022-04"-01;"Capitulos";"Materiales";"50.8"
"2022-04"-01;"Capitulos";"Mano de obra";"38.3"
"2022-04"-01;"Capitulos";"Gastos generales";"45.9"
"2022-05"-01;"Capitulos";"Nivel general";"50.1"
"2022-05"-01;"Capitulos";"Materiales";"51.2"
"2022-05"-01;"Capitulos";"Mano de obra";"49.4"
"2022-05"-01;"Capitulos";"Gastos generales";"48.0"
"2022-06"-01;"Capitulos";"Nivel general";"56.8"
"2022-06"-01;"Capitulos";"Materiales";"53.6"
"2022-06"-01;"Capitulos";"Mano de obra";"60.5"
"2022-06"-01;"Capitulos";"Gastos generales";"54.8"
"2022-07"-01;"Capitulos";"Nivel general";"59.0"
"2022-07"-01;"Capitulos";"Materiales";"67.7"
"2022-07"-01;"Capitulos";"Mano de obra";"51.4"
"2022-07"-01;"Capitulos";"Gastos generales";"55.1"
"2022-08"-01;"Capitulos";"Nivel general";"67.6"
"2022-08"-01;"Capitulos";"Materiales";"76.8"
"2022-08"-01;"Capitulos";"Mano de obra";"60.1"
"2022-08"-01;"Capitulos";"Gastos generales";"58.9"
"2022-09"-01;"Capitulos";"Nivel general";"74.5"
"2022-09"-01;"Capitulos";"Materiales";"82.6"
"2022-09"-01;"Capitulos";"Mano de obra";"68.5"
"2022-09"-01;"Capitulos";"Gastos generales";"65.4"
"2022-10"-01;"Capitulos";"Nivel general";"79.7"
