"Ano-Mes"-01;"Clasificador";"Agregacion";"Variacion %"
"2022-01"-01;"Capitulos";"Nivel general";"3.2"
"2022-01"-01;"Capitulos";"Materiales";"3.5"
"2022-01"-01;"Capitulos";"Mano de obra";"3.0"
"2022-01"-01;"Capitulos";"Gastos generales";"3.2"
"2022-02"-01;"Capitulos";"Nivel general";"3.8"
"2022-02"-01;"Capitulos";"Materiales";"3.5"
"2022-02"-01;"Capitulos";"Mano de obra";"4.2"
"2022-02"-01;"Capitulos";"Gastos generales";"3.6"
"2022-03"-01;"Capitulos";"Nivel general";"5.0"
"2022-03"-01;"Capitulos";"Materiales";"4.0"
"2022-03"-01;"Capitulos";"Mano de obra";"5.9"
"2022-03"-01;"Capitulos";"Gastos generales";"4.9"
"2022-04"-01;"Capitulos";"Nivel general";"2.3"
"2022-04"-01;"Capitulos";"Materiales";"4.5"
"2022-04"-01;"Capitulos";"Mano de obra";"0.0"
"2022-04"-01;"Capitulos";"Gastos generales";"2.6"
"2022-05"-01;"Capitulos";"Nivel general";"6.6"
"2022-05"-01;"Capitulos";"Materiales";"4.4"
"2022-05"-01;"Capitulos";"Mano de obra";"9.1"
"2022-05"-01;"Capitulos";"Gastos generales";"5.8"
"2022-06"-01;"Capitulos";"Nivel general";"6.6"
"2022-06"-01;"Capitulos";"Materiales";"5.2"
"2022-06"-01;"Capitulos";"Mano de obra";"8.0"
"2022-06"-01;"Capitulos";"Gastos generales";"6.2"
"2022-07"-01;"Capitulos";"Nivel general";"6.9"
"2022-07"-01;"Capitulos";"Materiales";"12.3"
"2022-07"-01;"Capitulos";"Mano de obra";"2.0"
"2022-07"-01;"Capitulos";"Gastos generales";"5.3"
"2022-08"-01;"Capitulos";"Nivel general";"7.5"
"2022-08"-01;"Capitulos";"Materiales";"8.9"
"2022-08"-01;"Capitulos";"Mano de obra";"6.3"
"2022-08"-01;"Capitulos";"Gastos generales";"5.5"
"2022-09"-01;"Capitulos";"Nivel general";"7.4"
"2022-09"-01;"Capitulos";"Materiales";"5.9"
"2022-09"-01;"Capitulos";"Mano de obra";"9.2"
"2022-09"-01;"Capitulos";"Gastos generales";"6.8"
"2022-10"-01;"Capitulos";"Nivel general";"7.3"
"2022-10"-01;"Capitulos";"Materiales";"5.9"
"2022-10"-01;"Capitulos";"Mano de obra";"8.8"
"2022-10"-01;"Capitulos";"Gastos generales";"7.1"
"2022-11"-01;"Capitulos";"Nivel general";"6.7"
"2022-11"-01;"Capitulos";"Materiales";"5.6"
"2022-11"-01;"Capitulos";"Mano de obra";"8.1"
"2022-11"-01;"Capitulos";"Gastos generales";"6.2"
"2022-12"-01;"Capitulos";"Nivel general";"4.3"
"2022-12"-01;"Capitulos";"Materiales";"4.9"
"2022-12"-01;"Capitulos";"Mano de obra";"3.6"
"2022-12"-01;"Capitulos";"Gastos generales";"5.0"
"2023-01"-01;"Capitulos";"Nivel general";"6.7"
"2023-01"-01;"Capitulos";"Materiales";"5.6"
"2023-01"-01;"Capitulos";"Mano de obra";"7.7"
"2023-01"-01;"Capitulos";"Gastos generales";"6.9"
"2023-02"-01;"Capitulos";"Nivel general";"6.0"
"2023-02"-01;"Capitulos";"Materiales";"5.1"
"2023-02"-01;"Capitulos";"Mano de obra";"7.1"
"2023-02"-01;"Capitulos";"Gastos generales";"5.3"
"2023-03"-01;"Capitulos";"Nivel general";"4.7"
"2023-03"-01;"Capitulos";"Materiales";"5.5"
"2023-03"-01;"Capitulos";"Mano de obra";"4.0"
"2023-03"-01;"Capitulos";"Gastos generales";"4.0"
"2023-04"-01;"Capitulos";"Nivel general";"8.1"
"2023-04"-01;"Capitulos";"Materiales";"7.1"
"2023-04"-01;"Capitulos";"Mano de obra";"8.5"
"2023-04"-01;"Capitulos";"Gastos generales";"11.1"
"2023-05"-01;"Capitulos";"Nivel general";"7.8"
"2023-05"-01;"Capitulos";"Materiales";"7.8"
"2023-05"-01;"Capitulos";"Mano de obra";"7.9"
"2023-05"-01;"Capitulos";"Gastos generales";"7.1"
"2023-06"-01;"Capitulos";"Nivel general";"5.8"
"2023-06"-01;"Capitulos";"Materiales";"7.1"
"2023-06"-01;"Capitulos";"Mano de obra";"3.7"
"2023-06"-01;"Capitulos";"Gastos generales";"10.3"
"2023-07"-01;"Capitulos";"Nivel general";"8.4"
"2023-07"-01;"Capitulos";"Materiales";"7.2"
"2023-07"-01;"Capitulos";"Mano de obra";"9.8"
"2023-07"-01;"Capitulos";"Gastos generales";"7.7"
"2023-08"-01;"Capitulos";"Nivel general";"14.8"
"2023-08"-01;"Capitulos";"Materiales";"22.2"
"2023-08"-01;"Capitulos";"Mano de obra";"8.4"
"2023-08"-01;"Capitulos";"Gastos generales";"9.8"
"2023-09"-01;"Capitulos";"Nivel general";"14.7"
"2023-09"-01;"Capitulos";"Materiales";"9.6"
"2023-09"-01;"Capitulos";"Mano de obra";"20.6"
"2023-09"-01;"Capitulos";"Gastos generales";"13.6"
"2023-10"-01;"Capitulos";"Nivel general";"7.1"
"2023-10"-01;"Capitulos";"Materiales";"14.1"
"2023-10"-01;"Capitulos";"Mano de obra";"0.1"
