"Año-Mes","Clasificador","Agregación","Variación %"
"2022-01","Capítulos","Nivel general","3,2"
"2022-02","Capítulos","Nivel general","3,8"
"2022-03","Capítulos","Nivel general","5,0"
"2022-04","Capítulos","Nivel general","2,3"
"2022-05","Capítulos","Nivel general","6,6"
"2022-06","Capítulos","Nivel general","6,6"
"2022-07","Capítulos","Nivel general","6,9"
"2022-08","Capítulos","Nivel general","7,5"
"2022-09","Capítulos","Nivel general","7,4"
"2022-10","Capítulos","Nivel general","7,3"
"2022-11","Capítulos","Nivel general","6,7"
"2022-12","Capítulos","Nivel general","4,3"
"2023-01","Capítulos","Nivel general","6,7"
"2023-02","Capítulos","Nivel general","6,0"
"2023-03","Capítulos","Nivel general","4,7"
"2023-04","Capítulos","Nivel general","8,1"
"2023-05","Capítulos","Nivel general","7,8"
"2023-06","Capítulos","Nivel general","5,8"
"2023-07","Capítulos","Nivel general","8,4"
"2023-08","Capítulos","Nivel general","14,8"
"2023-09","Capítulos","Nivel general","14,7"
"2023-10","Capítulos","Nivel general","7,1"
"2023-11","Capítulos","Nivel general","11,5"
"2023-12","Capítulos","Nivel general","30,6"
